CityName,Date,No_of_complain_received,No_of_complain_disposed,No_of_complain_pending
Surat,19-06-2019,2292,887,1405
Surat,20-06-2019,2067,688,1379
Surat,21-06-2019,2074,705,1369
Surat,22-06-2019,1910,549,1361
Surat,23-06-2019,1547,188,1359
Surat,24-06-2019,2238,791,1447
Surat,25-06-2019,2198,769,1429
Surat,26-06-2019,2259,850,1409
Surat,27-06-2019,2084,653,1431
Surat,28-06-2019,2146,715,1431
Surat,29-06-2019,2159,717,1442
Surat,30-06-2019,1620,203,1417
Surat,01-07-2019,2353,904,1449
Surat,02-07-2019,2430,1000,1430
Surat,03-07-2019,2065,720,1345
Surat,04-07-2019,1916,585,1331
Surat,05-07-2019,1906,575,1331
Surat,06-07-2019,2075,727,1348
Surat,07-07-2019,1607,243,1364
Surat,08-07-2019,2300,931,1369
Surat,09-07-2019,2209,802,1407
Surat,10-07-2019,1949,670,1279
Surat,11-07-2019,1820,539,1281
Surat,12-07-2019,1827,520,1307
Surat,13-07-2019,1741,442,1299
Surat,14-07-2019,1457,159,1298
Surat,15-07-2019,2045,708,1337
Surat,16-07-2019,2167,827,1340
Surat,17-07-2019,1989,703,1286
Surat,18-07-2019,1781,482,1299
Surat,19-07-2019,1799,472,1327
Surat,20-07-2019,1909,552,1357
Surat,21-07-2019,1593,215,1378
Surat,22-07-2019,2153,758,1395
Surat,23-07-2019,2103,716,1387
Surat,24-07-2019,2012,726,1286
Surat,25-07-2019,1687,370,1317
Surat,26-07-2019,1813,489,1324
Surat,27-07-2019,1779,442,1337
Surat,28-07-2019,1532,173,1359
Surat,29-07-2019,2023,645,1378
Surat,30-07-2019,1962,616,1346
Surat,31-07-2019,1811,537,1274
Surat,01-08-2019,1898,628,1270
Surat,02-08-2019,1972,685,1287
Surat,03-08-2019,1858,548,1310
Surat,04-08-2019,1749,428,1321
Surat,05-08-2019,2270,908,1362
Surat,06-08-2019,2514,1116,1398
Surat,07-08-2019,2334,924,1410
Surat,08-08-2019,2030,597,1433
Surat,09-08-2019,1892,548,1344
Surat,10-08-2019,1870,508,1362
Surat,11-08-2019,1724,344,1380
Surat,12-08-2019,1925,561,1364
Surat,13-08-2019,2215,860,1355
Surat,14-08-2019,2117,834,1283
Surat,15-08-2019,1493,228,1265
Surat,16-08-2019,2106,830,1276
Surat,17-08-2019,1813,527,1286
Surat,18-08-2019,1530,238,1292
Surat,19-08-2019,2134,823,1311
Surat,20-08-2019,2161,866,1295
Surat,21-08-2019,2080,841,1239
Surat,22-08-2019,1782,522,1260
Surat,23-08-2019,1937,671,1266
Surat,24-08-2019,1625,355,1270
Surat,25-08-2019,1502,228,1274
Surat,26-08-2019,1996,679,1317
Surat,27-08-2019,1999,670,1329
Surat,28-08-2019,1930,605,1325
Surat,29-08-2019,1808,428,1380
Surat,30-08-2019,1860,474,1386
Surat,31-08-2019,1904,515,1389
Surat,01-09-2019,1619,229,1390
Surat,02-09-2019,1648,287,1361
Surat,03-09-2019,2035,651,1384
Surat,04-09-2019,2139,709,1430
Surat,05-09-2019,2176,717,1459
Surat,06-09-2019,2158,696,1462
Surat,07-09-2019,2132,650,1482
Surat,08-09-2019,1691,193,1498
Surat,09-09-2019,2265,760,1505
Surat,10-09-2019,1881,424,1457
Surat,11-09-2019,2023,700,1323
Surat,12-09-2019,1529,206,1323
Surat,13-09-2019,2040,703,1337
Surat,14-09-2019,2218,866,1352
Surat,15-09-2019,1608,249,1359
Surat,16-09-2019,2240,847,1393
Surat,17-09-2019,2186,782,1404
Surat,18-09-2019,2239,862,1377
Surat,19-09-2019,1934,547,1387
Surat,20-09-2019,2036,618,1418
Surat,21-09-2019,2093,649,1444
Surat,22-09-2019,1752,288,1464
Surat,23-09-2019,2225,745,1480
Surat,24-09-2019,2191,716,1475
Surat,25-09-2019,2112,604,1508
Surat,26-09-2019,2004,501,1503
Surat,27-09-2019,2006,477,1529
Surat,28-09-2019,2051,528,1523
Surat,29-09-2019,1753,220,1533
Surat,30-09-2019,2226,696,1530
Surat,01-10-2019,2151,596,1555
Surat,02-10-2019,1707,273,1434
Surat,03-10-2019,2009,589,1420
Surat,04-10-2019,2011,574,1437
Surat,05-10-2019,2013,555,1458
Surat,06-10-2019,1732,234,1498
Surat,07-10-2019,2159,659,1500
Surat,08-10-2019,1778,302,1476
Surat,09-10-2019,2191,748,1443
Surat,10-10-2019,1938,497,1441
Surat,11-10-2019,2116,642,1474
Surat,12-10-2019,2010,534,1476
Surat,13-10-2019,1688,211,1477
Surat,14-10-2019,2225,710,1515
Surat,15-10-2019,2146,659,1487
Surat,16-10-2019,2128,664,1464
Surat,17-10-2019,2063,612,1451
Surat,18-10-2019,2059,574,1485
Surat,19-10-2019,2173,663,1510
Surat,20-10-2019,1758,237,1521
Surat,21-10-2019,2232,653,1579
Surat,22-10-2019,2262,605,1657
Surat,23-10-2019,2326,612,1714
Surat,24-10-2019,2269,430,1839
Surat,25-10-2019,2297,480,1817
Surat,26-10-2019,2218,461,1757
Surat,27-10-2019,1870,180,1690
Surat,28-10-2019,1736,74,1662
Surat,29-10-2019,2000,309,1691
Surat,30-10-2019,2075,335,1740
Surat,31-10-2019,2084,293,1791
Surat,01-11-2019,2378,446,1932
Surat,02-11-2019,2538,402,2136
Surat,03-11-2019,2519,150,2369
